46	3	44	23	90	76	8	2	5	88	24	96	19	5	96	13	44	15	84	63	46	44	13	79	7	34	9	71	29	82	41	16	56	91	20	66	90	21	84	7	30	50	33	12	55	50	70	11	71	77	30	54	98	3	38	1	33	2	34	35	8	19	96	40	84	19	98	77	90	64	46	47	62	39	21	5	19	89	53	85	41	68	31	58	7	32	79	66	52	94	89	0	7	61	78	3	54	99	33	61	59	89	27	37	82	90	31	56	44	86	70	91	93	61	36	46	64	94	76	66	7	16	85	5	31	59	82	8	20	30	67	29	30	44	28	90	51	2	69	7	80	11	43	23	14	49	73	37	93	70	14	15	21	29	64	12	98	11	48	36	2222	2222	5	24	5	18	19	35	50	40	74	64	43	17	65	0	89	57	49	14	97	23	14	35	67	56	9	63	99	86	81	4	2	30	23	46	84	24	3	75	
0	0	1	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	11	11	12	12	13	13	14	14	15	15	16	16	17	17	18	18	19	19	20	20	21	21	22	22	23	23	24	24	25	25	26	26	27	27	28	28	29	29	30	30	31	31	32	32	33	33	34	34	35	35	36	36	37	37	38	38	39	39	40	40	41	41	42	42	43	43	44	44	45	45	46	46	47	47	48	48	49	49	50	50	51	51	52	52	53	53	54	54	55	55	56	56	57	57	58	58	59	59	60	60	61	61	62	62	63	63	64	64	65	65	66	66	67	67	68	68	69	69	70	70	71	71	72	72	73	73	74	74	75	75	76	76	77	77	78	78	79	79	80	80	81	81	82	82	83	83	84	84	85	85	86	86	87	87	88	88	89	89	90	90	91	91	92	92	93	93	94	94	95	95	96	96	97	97	98	98	99	99	
60	22	85	54	12	19	25	12	44	18	11	8	21	52	27	72	48	43	53	66	10	49	15	53	21	36	14	27	46	18	11	2	1	34	32	11	15	18	5	13	59	20	11	30	13	8	7	26	50	3	63	32	42	3	11	49	0	11	19	47	35	22	89	12	51	6	53	16	45	42	80	24	54	57	3	25	62	47	73	77	46	2	2	11	29	50	24	17	94	65	29	17	19	34	37	4	10	40	16	21	47	35	9	70	45	0	7	9	33	78	36	11	29	55	31	7	83	56	17	5	28	34	64	14	11	16	23	15	30	42	53	87	24	20	48	16	23	15	92	74	58	51	18	38	28	7	64	29	56	4	16	25	7	71	61	19	36	8	42	23	96	26	35	28	3	13	45	24	4	59	11	1	68	20	17	31	30	32	25	24	1	78	59	3	42	34	12	62	2	21	30	27	41	4	17	2	4	56	53	28	
0	0	1	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	11	11	12	12	13	13	14	14	15	15	16	16	17	17	18	18	19	19	20	20	21	21	22	22	23	23	24	24	25	25	26	26	27	27	28	28	29	29	30	30	31	31	32	32	33	33	34	34	35	35	36	36	37	37	38	38	39	39	40	40	41	41	42	42	43	43	44	44	45	45	46	46	47	47	48	48	49	49	50	50	51	51	52	52	53	53	54	54	55	55	56	56	57	57	58	58	59	59	60	60	61	61	62	62	63	63	64	64	65	65	66	66	67	67	68	68	69	69	70	70	71	71	72	72	73	73	74	74	75	75	76	76	77	77	78	78	79	79	80	80	81	81	82	82	83	83	84	84	85	85	86	86	87	87	88	88	89	89	90	90	91	91	92	92	93	93	94	94	95	95	96	96	97	97	98	98	99	99	
70	55	46	39	37	8	65	17	30	7	45	5	26	18	16	57	82	6	11	9	15	3	12	20	70	20	10	50	76	24	9	24	16	10	71	30	1	79	27	30	8	47	1	27	54	14	48	63	36	88	16	70	18	3	89	46	40	81	79	34	34	24	4	8	60	44	3	30	11	0	38	11	29	2	53	9	44	16	1	20	14	40	37	42	34	32	12	32	63	8	62	40	21	8	26	41	29	55	25	48	25	40	46	70	6	89	55	5	10	34	17	25	40	25	31	64	17	31	13	55	1	70	86	31	1111	1111	68	72	9	4	32	4	41	88	77	0	13	17	48	21	60	19	21	68	37	33	2	20	72	31	5	10	22	46	25	41	18	15	61	11	61	89	38	21	12	81	14	90	26	62	46	44	2	23	27	34	14	60	47	55	22	25	27	51	8	27	6	64	8	9	8	39	82	54	5	54	55	51	7	5	
0	0	1	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	11	11	12	12	13	13	14	14	15	15	16	16	17	17	18	18	19	19	20	20	21	21	22	22	23	23	24	24	25	25	26	26	27	27	28	28	29	29	30	30	31	31	32	32	33	33	34	34	35	35	36	36	37	37	38	38	39	39	40	40	41	41	42	42	43	43	44	44	45	45	46	46	47	47	48	48	49	49	50	50	51	51	52	52	53	53	54	54	55	55	56	56	57	57	58	58	59	59	60	60	61	61	62	62	63	63	64	64	65	65	66	66	67	67	68	68	69	69	70	70	71	71	72	72	73	73	74	74	75	75	76	76	77	77	78	78	79	79	80	80	81	81	82	82	83	83	84	84	85	85	86	86	87	87	88	88	89	89	90	90	91	91	92	92	93	93	94	94	95	95	96	96	97	97	98	98	99	99	
28	9	1	33	36	34	13	68	15	60	83	22	25	24	23	60	12	21	20	29	20	1	15	29	65	23	26	13	63	17	5	18	73	0	46	52	26	17	18	11	29	40	77	42	4	20	3	73	16	62	19	70	31	0	1	29	69	12	28	39	55	25	68	16	16	48	84	67	35	17	41	10	41	76	27	44	46	73	3	30	17	45	33	16	6	53	2	40	51	73	13	48	19	79	10	19	26	73	29	19	24	6	37	25	50	13	43	17	76	8	36	40	27	0	21	46	3	22	31	6	12	10	16	12	16	51	7	11	49	54	5	4	1	54	31	27	69	29	47	13	10	48	1	56	30	5	5	30	13	93	87	46	34	8	9	12	42	15	1	13	18	5	2	18	24	38	47	21	16	18	69	25	25	16	32	27	65	78	41	3	43	38	34	31	78	19	33	54	23	31	12	96	77	46	33	38	22	44	31	88	
0	0	1	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	11	11	12	12	13	13	14	14	15	15	16	16	17	17	18	18	19	19	20	20	21	21	22	22	23	23	24	24	25	25	26	26	27	27	28	28	29	29	30	30	31	31	32	32	33	33	34	34	35	35	36	36	37	37	38	38	39	39	40	40	41	41	42	42	43	43	44	44	45	45	46	46	47	47	48	48	49	49	50	50	51	51	52	52	53	53	54	54	55	55	56	56	57	57	58	58	59	59	60	60	61	61	62	62	63	63	64	64	65	65	66	66	67	67	68	68	69	69	70	70	71	71	72	72	73	73	74	74	75	75	76	76	77	77	78	78	79	79	80	80	81	81	82	82	83	83	84	84	85	85	86	86	87	87	88	88	89	89	90	90	91	91	92	92	93	93	94	94	95	95	96	96	97	97	98	98	99	99	
83	58	17	69	2	4	25	6	33	13	39	36	5	38	47	12	32	50	24	16	1111	1111	57	6	87	26	18	4	53	92	28	45	10	69	19	34	33	1	33	5	31	44	4	2	76	9	38	27	1111	1111	88	22	24	18	40	96	19	39	44	15	4	5	73	57	46	9	57	36	0	39	52	4	74	14	89	17	50	35	61	2	11	8	59	12	14	5	15	54	10	44	30	35	14	9	1	41	67	78	56	20	32	46	34	56	60	45	2	27	22	55	16	9	26	45	42	21	7	36	18	2	62	19	37	41	0	35	69	8	6	60	35	19	41	24	90	3	31	74	58	9	11	6	69	25	34	54	35	23	55	69	14	30	12	0	54	41	14	0	80	78	14	4	64	22	56	61	21	52	2	19	34	46	65	75	3	7	66	29	58	55	45	37	47	18	47	32	51	10	27	29	23	8	37	12	41	76	26	3	8	26	
0	0	1	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	11	11	12	12	13	13	14	14	15	15	16	16	17	17	18	18	19	19	20	20	21	21	22	22	23	23	24	24	25	25	26	26	27	27	28	28	29	29	30	30	31	31	32	32	33	33	34	34	35	35	36	36	37	37	38	38	39	39	40	40	41	41	42	42	43	43	44	44	45	45	46	46	47	47	48	48	49	49	50	50	51	51	52	52	53	53	54	54	55	55	56	56	57	57	58	58	59	59	60	60	61	61	62	62	63	63	64	64	65	65	66	66	67	67	68	68	69	69	70	70	71	71	72	72	73	73	74	74	75	75	76	76	77	77	78	78	79	79	80	80	81	81	82	82	83	83	84	84	85	85	86	86	87	87	88	88	89	89	90	90	91	91	92	92	93	93	94	94	95	95	96	96	97	97	98	98	99	99	
